year,ncessch,ncessch_num,leaid,fips,grade,race,sex,enrollment
2008,484428008870,484428008870,4844280,48,10,4,2,0.0
2003,230528000134,230528000134,2305280,23,9,99,99,65.0
2008,64074006723,64074006723,640740,6,0,1,99,1.0
2005,470066000261,470066000261,4700660,47,10,3,99,0.0
2013,120033003960,120033003960,1200330,12,99,7,1,9.0
2001,250597000846,250597000846,2505970,25,99,5,2,0.0
2011,361419001165,361419001165,3614190,36,99,6,99,1.0
2002,231059000329,231059000329,2310590,23,11,3,2,1.0
2007,390469702730,390469702730,3904697,39,1,3,1,0.0
2011,470117001994,470117001994,4701170,47,4,2,2,11.0
2012,483873004375,483873004375,4838730,48,99,5,99,3.0
2018,380002100315,380002100315,3800021,38,0,1,1,15.0
2005,390030704844,390030704844,3900307,39,6,1,99,27.0
2003,450078001444,450078001444,4500780,45,99,1,2,224.0
2016,482382002633,482382002633,4823820,48,10,99,9,0.0
2018,410192001321,410192001321,4101920,41,-1,7,2,
1999,40133000072,40133000072,401330,4,0,4,99,0.0
2018,481623001376,481623001376,4816230,48,99,1,2,3.0
2014,50498000220,50498000220,504980,5,-1,7,1,0.0
2016,63684006259,63684006259,636840,6,1,99,1,20.0
2012,390138105634,390138105634,3901381,39,7,4,2,0.0
2000,251323002248,251323002248,2513230,25,0,5,99,0.0
2006,361995001824,361995001824,3619950,36,5,3,99,25.0
2002,483039003422,483039003422,4830390,48,11,3,1,43.0
2018,40909000948,40909000948,409090,4,5,4,1,0.0
2002,61380007710,61380007710,613800,6,10,2,1,0.0
2001,51323000145,51323000145,513230,5,4,3,99,0.0
2017,130228000976,130228000976,1302280,13,2,3,1,3.0
2011,482034002037,482034002037,4820340,48,4,99,99,120.0
2005,465526000501,465526000501,4655260,46,99,99,99,615.0
2006,260426002049,260426002049,2604260,26,15,5,1,0.0
2008,61455001708,61455001708,614550,6,4,1,1,4.0
2004,483312006592,483312006592,4833120,48,5,5,1,0.0
2017,61035001159,61035001159,610350,6,10,99,9,0.0
2018,120039000400,120039000400,1200390,12,4,7,2,0.0
2012,251038001668,251038001668,2510380,25,99,7,99,19.0
2017,200789001268,200789001268,2007890,20,4,1,2,3.0
2010,90474000953,90474000953,904740,9,0,6,1,0.0
2014,400762000310,400762000310,4007620,40,11,5,2,22.0
2018,170003006266,170003006266,1700030,17,7,6,2,
2010,120087000914,120087000914,1200870,12,3,3,99,9.0
